# M=34, N=17, Vp=0.0, t=1.0, n=1, Vstart=-1.9, Vstop=2.0, Vstep=0.2, PBC
# start time 2022-01-30 23:56:18
#                       V#                 S₁(n=1)#                 S₂(n=1)                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)#               S₀₋₅(n=1)
     -1.900000000000E+00      3.118694749535E-01      2.153402702694E-01      1.716674685564E-01      1.461415993932E-01      1.289755981675E-01      1.163978849163E-01      1.066481149427E-01      9.878919390265E-02      9.227188060834E-02      8.674983364278E-02      4.236895330135E-01
     -1.700000000000E+00      2.504253740928E-01      1.593519255683E-01      1.248436636839E-01      1.066840127202E-01      9.511841244696E-02      8.683523203588E-02      8.044584219893E-02      7.527312850748E-02      7.094616353938E-02      6.724202014257E-02      3.741170676109E-01
     -1.500000000000E+00      2.004745643491E-01      1.173867065644E-01      9.084375281088E-02      7.822783925198E-02      7.060743948786E-02      6.527279344355E-02      6.118163676355E-02      5.785838855964E-02      5.505569584734E-02      5.263094202080E-02      3.310280274263E-01
     -1.300000000000E+00      1.561525892176E-01      8.365419323688E-02      6.413043317909E-02      5.568405130478E-02      5.083046447209E-02      4.752265784608E-02      4.502102644367E-02      4.300058162672E-02      4.129676298335E-02      3.981698072487E-02      2.889982337909E-01
     -1.100000000000E+00      1.167475767692E-01      5.685887277459E-02      4.327424384932E-02      3.785349591185E-02      3.487097292974E-02      3.289812142460E-02      3.143923889802E-02      3.028013924099E-02      2.931340291347E-02      2.847916243591E-02      2.468002796173E-01
     -9.000000000000E-01      8.231696878496E-02      3.616249626368E-02      2.737313311854E-02      2.408688289137E-02      2.234115182634E-02      2.122036487027E-02      2.041406731122E-02      1.978892502767E-02      1.927823479967E-02      1.884491759483E-02      2.039993919094E-01
     -7.000000000000E-01      5.310728035971E-02      2.081059384290E-02      1.569029098503E-02      1.386763257326E-02      1.292454584602E-02      1.233491305880E-02      1.192233774911E-02      1.161119131029E-02      1.136365693035E-02      1.115872368859E-02      1.603973787892E-01
     -5.000000000000E-01      2.948332558219E-02      1.011711919875E-02      7.607161518608E-03      6.743717979602E-03      6.304942933536E-03      6.036216236191E-03      5.852546829663E-03      5.717508353493E-03      5.612887542520E-03      5.528565857703E-03      1.158789165313E-01
     -3.000000000000E-01      1.200294987475E-02      3.476995244452E-03      2.610018480808E-03      2.317938753001E-03      2.171110792460E-03      2.082390621396E-03      2.022725544111E-03      1.979664383668E-03      1.946981550871E-03      1.921218384488E-03      7.035589567002E-02
     -1.000000000000E-01      1.692289688043E-03      3.695591414523E-04      2.771949700171E-04      2.463729420570E-04      2.309534475540E-04      2.216949746048E-04      2.155170137512E-04      2.110993466506E-04      2.077818641331E-04      2.051978388802E-04      2.374344966858E-02
      1.000000000000E-01      1.633220958371E-03      3.542572943647E-04      2.657165072506E-04      2.361725507058E-04      2.213931009392E-04      2.125194607787E-04      2.065987265145E-04      2.023653679810E-04      1.991866200965E-04      1.967109467049E-04      2.341599965223E-02
      3.000000000000E-01      1.085608965300E-02      3.062868494807E-03      2.298913938484E-03      2.042057649027E-03      1.913090892771E-03      1.835284208950E-03      1.783058240638E-03      1.745450395243E-03      1.716979376130E-03      1.694600018234E-03      6.759414545921E-02
      5.000000000000E-01      2.511299787016E-02      8.191016381381E-03      6.155911260428E-03      5.462240577736E-03      5.111671753434E-03      4.898421345429E-03      4.753842883781E-03      4.648515921956E-03      4.567730214385E-03      4.503313386915E-03      1.086639754584E-01
      7.000000000000E-01      4.276282232279E-02      1.549039429300E-02      1.166325640282E-02      1.033448613467E-02      9.657106085748E-03      9.240781889253E-03      8.955071215087E-03      8.744063857784E-03      8.579804347683E-03      8.446761637864E-03      1.470541951345E-01
      9.000000000000E-01      6.286953402444E-02      2.476237067707E-02      1.868867918305E-02      1.653279884363E-02      1.542243472266E-02      1.473221463264E-02      1.425241683163E-02      1.389312194920E-02      1.360936732450E-02      1.337617196636E-02      1.831182082393E-01
      1.100000000000E+00      8.483396467623E-02      3.585328678961E-02      2.713689529702E-02      2.396507485034E-02      2.231262842499E-02      2.127349926521E-02      2.054209816191E-02      1.998730083977E-02      1.954352956413E-02      1.917434363888E-02      2.171542392047E-01
      1.300000000000E+00      1.082564617524E-01      4.865161131856E-02      3.694741093611E-02      3.257198362472E-02      3.026412746354E-02      2.879643412918E-02      2.775151192537E-02      2.694998559108E-02      2.630210676091E-02      2.575798296444E-02      2.494202225752E-01
      1.500000000000E+00      1.328704906409E-01      6.308702256691E-02      4.809432419469E-02      4.232730786506E-02      3.924546503625E-02      3.726464767008E-02      3.584023537596E-02      3.473753824338E-02      3.383902061870E-02      3.307928666050E-02      2.801452208786E-01
      1.700000000000E+00      1.585064346003E-01      7.913124836772E-02      6.058802868929E-02      5.323985985870E-02      4.925922914840E-02      4.667551274781E-02      4.480189160883E-02      4.334111726771E-02      4.214405674060E-02      4.112760268105E-02      3.095381165303E-01
      1.900000000000E+00      1.850693796643E-01      9.679973073917E-02      7.447820596197E-02      6.535665697769E-02      6.034522715032E-02      5.706317337611E-02      5.466701008153E-02      5.278935693240E-02      5.124532918845E-02      4.993162522723E-02      3.377931125276E-01


 Calculation finished at  2022-02-02 01:33:32
